Acting_as_an_Elected_Official , Remuneration
Honoraria_and_Allowances , Remuneration
Honoraria_and_Salaries , Remuneration
Honoraria_Expenses , Expenses
Honoraria_&_Other , Remuneration
Honoraria_(Own_Source) , Remuneration
Honoraria_Paid , Remuneration
Honoraria_Reimbursement , Remuneration
Honoraria , Remuneration
Honoraria/Salary , Remuneration
Honoraria_Sturgeon_Lake_Developments , Remuneration
Honoraria_Sturgeon_Lake_Resources , Remuneration
Honoraria_Sturgeon_Lake_Trust , Remuneration
Honorariua , Remuneration
Honorarium , Remuneration
Honorariums_and_Per_Diems , Remuneration
Honorariums , Remuneration
Honoraruim/Travel , Expenses
IBA , Remuneration*
IDENTIFICATION , Name_of_Individual
Individual , Name_of_Individual
Length_of_Employment , Number_of_Months
Length_of_Service , Number_of_Months
Life_and_health , Remuneration
Living_Allowance , Expenses
Meeting_&_Honorariums , Remuneration
Meetings_and_Travel , Expenses
Meetings_&_Per_Diems , Expenses
Meetings_&_Travel_Expense , Expenses
Meetings_&_Travel , Expenses
Mileage_Expense , Expenses
Month , Number_of_Months
Months_Covered , Number_of_Months
Months_in_Office , Number_of_Months
Months_in_Position , Number_of_Months
#_Months/Months_in_Office , Number_of_Months
Months_NA , Number_of_Months
#_Months , Number_of_Months
Months , Number_of_Months
#_months , Number_of_Months
#_Mos , Number_of_Months
Name_NA/Elected_or_Appointed_Officials , Name_of_Individual
Name , Name_of_Individual
Name_NA , Name_of_Individual
Name_of_Employer , Name_of_Individual
Name_of_Individual_Chief/Council_Member , Name_of_Individual
Name_of_Individual , Name_of_Individual
Name_of_individual , Name_of_Individual
Name_of_Individuals , Name_of_Individual
Net_travel_expenses , Expenses
Nombre_de_Mois_en_Poste , Number_of_Months
Nombre_de_mois_en_poste , Number_of_Months
Nombre_de_mois , Number_of_Months
Nombre_de_mois/semaines , Number_of_Months
Nombre_de_semaines , Number_of_Months
Nombre_semaines , Number_of_Months
Nom_de_la_Personne , Name_of_Individual
Nom_de_la_personne , Name_of_Individual
NOM , Name_of_Individual
Nom , Name_of_Individual
Non-Government_Remuneration , Remuneration
No._of_Months_In_Office , Number_of_Months
No._Of_Months , Number_of_Months
No_of_Months , Number_of_Months
No._of_Months , Number_of_Months
No._of_months , Number_of_Months
Number_of_Months_in_office , Number_of_Months
Number_of_months_in_office , Number_of_Months
Number_of_Months , Number_of_Months
Number_of_months , Number_of_Months
Number_of_Months_on_the_Board , Number_of_Months
Number_of_months'_service , Number_of_Months
Number_of_Weeks_in_office , Number_of_Months*
Number_of_Weeks , Number_of_Months*
Number_of_weeks , Number_of_Months*
Office , Position_Title
#_of_Months , Number_of_Months
#_of_months , Number_of_Months
#_of_Months_on_Council , Number_of_Months
#_of_Mths , Number_of_Months
Other_honoraria , Remuneration
Other_Honorarium , Remuneration
Other , Other*
Other_Payments , Remuneration*
Other_Per_Diems , Expenses
Other_position_than_Chief_or_Council_members , Position_Title
Other_Remuneration/Benefits , Remuneration
Other_Remuneration_Honorariums , Remuneration
Other_Remuneration_Non_Monetary_Benefits , Remuneration
Other_Remuneration_Non_Monetary_Pension , Remuneration
Other_Remuneration_(Own_Source) , Remuneration
Other_Remuneration , Remuneration
Other_remuneration , Remuneration
Other_Remunerations , Remuneration
Other_Remuneration_TRAINING , Remuneration
Other_Remuneration_Training , Remuneration
Other_Remuneration_TRAVEL , Remuneration
Other_Remuneration_Travel , Remuneration
Other_Remuneration_VISA , Remuneration
Other_Renumeration , Remuneration
Other_Travel , Expenses
Owned_Entity_Travel/Meetings , Expenses
PAGC_Payments , Remuneration*
Payment_to_Related_Business , Remuneration*
Pension_and_Benefits , Remuneration
Pension/Benefits , Remuneration
Pension_Premiums , Remuneration
Pension , Remuneration
Per_diem , Expenses
Per_Diems_and_Travel , Expenses
Per_Diems , Expenses
Per_diems , Expenses
Period , Number_of_Months
Phone_Allowance , Expenses
Piapot_First_Nation_Expense , Expenses
Piapot_First_Nation_Per_diem , Expenses
Position_and_Title , Position_Title
Position_Held , Position_Title
Position , Position_Title
Position_Title , Position_Title
Position/Title , Position_Title
Position_title , Position_Title
Program_Expenses , Expenses
Project_Management_&_Other , Name_of_Individual
Public_Works_Contracts , Remuneration*
Recipient , Name_of_Individual
Regular_Travel_Expense , Expenses
Reimbursed_Expenses , Expenses
Reimbursed_Travel , Expenses
Reimbursement , Expenses
Remuneration_(Band) , Remuneration
Remuneration_(Chipewyan_Prarie_First_Nation_Group_of_Companies) , Remuneration
Remuneration_(Chipewyan_Prarie_First_Nation) , Remuneration
Remuneration_(Federal_Government_Funds) , Remuneration
Remuneration_Honorarium , Remuneration
Remuneration_NA , Remuneration
Remuneration_(Other) , Remuneration
Remuneration_Other , Remuneration
Remuneration_(Own_Source_Revenue) , Remuneration
Remuneration , Remuneration
Rémunération , Remuneration
Rémunérations , Remuneration
Remuneration_(Woodland_Cree_First_Nation_Group_of_Companies) , Remuneration
Remuneration_(Woodland_Cree_First_Nation) , Remuneration
Rent , Remuneration*
Retirement_Allowances_Paid_out , Expenses
Retirement , Remuneration
Royalties_&_Grants , Remuneration*
Salaire , Remuneration
Salaires_de_base , Remuneration
Salaires_et_Honoraires , Remuneration
Salaires_et_honoraires , Remuneration
Salaires_ou_honoraires , Remuneration
Salaires , Remuneration
Salaries_and_Benefits , Remuneration
Salaries_and_Contracts , Remuneration
Salaries_and_Honoraria , Remuneration
Salaries_and_honoraria , Remuneration
Salaries_and_honoraries_as_council_members , Remuneration
Salaries_and_honoraries , Remuneration
Salaries_and_Wages , Remuneration
Salaries/Fees , Remuneration
Salaries_&_Honoraria , Remuneration
Salaries_Honoraria , Remuneration
Salaries/Honoraria , Remuneration
Salaries_(Own_Source) , Remuneration
Salaries , Remuneration
Salary_and_Benefits , Remuneration
Salary_and_Honoraria , Remuneration
Salary_and_honoraria , Remuneration
Salary_and_Honorarium , Remuneration
Salary/Council_Component , Remuneration
Salary_Elected_Position , Position_Title
Salary_Employed_Position , Position_Title
Salary_Expense , Expenses
Salary_&_Honoraria , Remuneration
Salary_Honoraria , Remuneration
Salary/Honoraria , Remuneration
Salary_&_Honorariums , Remuneration
Salary , Remuneration
Sales , Remuneration*
Self_Government_Travel_Expense , Expenses
Seniority_Award , Remuneration
Severance_Calculation_Accruing , Remuneration
Severance_pay_or_bonus , Remuneration
SFNS , Remuneration*
Social_Development_Salary , Remuneration
Special_Meetings , Expenses
Staff_Travel_&_Other , Expenses
Statut , Position_Title
Stipend_and_Salary , Remuneration
Taxable_Earnings/honoraria , Remuneration
Telephone_Allowance , Expenses
Telephone , Expenses
Term_(in_months) , Number_of_Months
Term_(Months) , Number_of_Months
Term , Number_of_Months
Time_in_Office_during_2013-2014_fiscal_year , Number_of_Months
Title_NA , Position_Title
Title/Position , Position_Title
Title , Position_Title
Titre_du_poste , Position_Title
Titre , Position_Title
Total , Drop*
Total_Expenses , Expenses
Total_honorarium , Remuneration
Total_Remuneration_Sturgeon_Lake_Cree_Nation , Remuneration
Total_Travel , Expenses
Total_Travel_Expenses , Expenses
Travel_Allowance , Expenses
Travel_and_Expenses , Expenses
Travel_and_Other , Expenses
Travel_and_other , Expenses
Travel_and_other_expenses , Expenses
Travel_(Chipewyan_Prarie_First_Nation) , Expenses
Travel_(Chipewyan_Prarie_First_Nation_Group_of_Companies) , Expenses
Travel/Expense_Allowances , Expenses
Travel_Expense , Expenses
Travel_expense , Expenses
Travel , Expenses
Travel/Expenses_(Band) , Expenses
Travel_Expenses , Expenses
Travel_expenses , Expenses
Travel/Expenses_(Other) , Expenses
Travel_Expenses_(Own_Source) , Expenses
Travel_Meeting_Expense , Expenses
Travel_&_Meetings , Expenses
Travel/Meetings , Expenses
Travel__Meetings_&_Other_Expenses , Expenses
Travel_Mileage , Expenses
Travel_&_Other , Expenses
Travel/Other , Expenses
Travel__Pension_and_Other_Remuneration , Remuneration
Travel_Reimbursements , Expenses
Trillium_War_1812 , Remuneration*
Variable_ou_Service , Drop
Variable_ou_service , Drop
Wages_and_salary , Remuneration
Wages_&_Honoraria , Remuneration
Wages , Remuneration
Weeks , Number_of_Months*
Work_Travel , Expenses
