
53,	Nom_de_la_personne,							Name_of_Individual
530,	Travel,									Expenses

550,	Name_of_Individual,							Name_of_Individual
550,	Title_NA,								Position_Title
550,	No._of_Months,								Number_of_Months
550,	Remuneration,								Remuneration
550,	Expenses,								Expenses

553,	Name_of_Individual,							Name_of_Individual
553,	Position_Title,								Position_Title
553,	Number_of_Months,							Number_of_Months
553,	Remuneration,								Remuneration
553,	Expenses,								Expenses

554,	Name_of_Individual,							Name_of_Individual
554,	Position_Title,								Position_Title
554,	Number_of_Months,							Number_of_Months
554,	Remuneration,								Remuneration
554,	Expenses,								Expenses

557,	Name_of_Individual,							Name_of_Individual
557,	Position_Title,								Position_Title
557,	Number_of_Months,							Number_of_Months
557,	Remuneration,								Remuneration
557,	Expenses,								Expenses

559,	Name_of_Individual,							Name_of_Individual
559,	Position_Title,								Position_Title
559,	Number_of_Months,							Number_of_Months
559,	Remuneration,								Remuneration
559,	Expenses,								Expenses

560,	Name_of_Individual,							Name_of_Individual
560,	Position_Title,								Position_Title
560,	Number_of_Months,							Number_of_Months
560,	Remuneration,								Remuneration
560,	Expenses,								Expenses

567,	Name_of_Individual,							Name_of_Individual
567,	Position_Title,								Position_Title
567,	Number_of_Months,							Number_of_Months
567,	Remuneration,								Remuneration
567,	Expenses,								Expenses

572,	Name_of_Individual,							Name_of_Individual
572,	Position_Title,								Position_Title
572,	Number_of_Months,							Number_of_Months
572,	Remuneration,								Remuneration
572,	Expenses,								Expenses

575,	Name_NA,								Name_of_Individual
575,	Position,								Position_Title
575,	Number_of_Months,							Number_of_Months
575,	Salary_and_Honoraria,							Remuneration
575,	Other_remuneration,							Remuneration
575,	Travel_Expenses,							Expenses

581,	Name,									Name_of_Individual
581,	Position/Title,								Position_Title
581,	#_of_Months,								Number_of_Months
581,	Honoraria,								Remuneration
581,	Salary,									Remuneration
581,	Travel_Expense,								Expenses
581,	Other_Remuneration,							Remuneration

582,	Name,									Name_of_Individual
582,	Position/Title,								Position_Title
582,	#_of_Months,								Number_of_Months
582,	Salary,									Remuneration
582,	Honoraria,								Remuneration
582,	Travel_Expense,								Expenses
582,	Other_Remuneration,							Remuneration

596,	Name_of_Individual,							Name_of_Individual
596,	Position_Title,								Position_Title
596,	Number_of_Months,							Number_of_Months
596,	Remuneration,								Remuneration
596,	Expenses,								Expenses

606,	Name_of_Individual,							Name_of_Individual
606,	Position_Title,								Position_Title
606,	No._of_Months,								Number_of_Months
606,	Salary_and_Honoraria,							Remuneration
606,	Other_Remuneration,							Remuneration
606,	Travel_Expenses,							Expenses

610,	Name_of_Individual,							Name_of_Individual
610,	Position_Title,								Position_Title
610,	Number_of_Months,							Number_of_Months
610,	Remuneration,								Remuneration
610,	Expenses,								Expenses

613,	Name_of_Individual,							Name_of_Individual
613,	Position_Title,								Position_Title
613,	Number_of_Months,							Number_of_Months
613,	Remuneration,								Remuneration
613,	Expenses,								Expenses

616,	Name_NA,								Name_of_Individual
616,	Position,								Position_Title
616,	Number_of_Months,							Number_of_Months
616,	Honoraria,								Remuneration
616,	Travel_Expense,								Expenses
616,	Cellular_Telephone_Allowance,						Expenses

636,	Name_of_Individual,							Name_of_Individual
636,	Position_Title,								Position_Title
636,	Number_of_Months,							Number_of_Months
636,	Remuneration,								Remuneration
636,	Expenses,								Expenses

646,	Name_of_Individual,							Name_of_Individual
646,	Position_Title,								Position_Title
646,	Number_of_Months,							Number_of_Months
646,	Remuneration,								Remuneration
646,	Expenses,								Expenses

648,	Name_of_Individual,							Name_of_Individual
648,	Position_Title,								Position_Title
648,	Number_of_Months,							Number_of_Months
648,	Remuneration,								Remuneration
648,	Expenses,								Expenses

649,	Name_of_Individual,							Name_of_Individual
649,	Position_Title,								Position_Title
649,	Number_of_Months,							Number_of_Months
649,	Remuneration,								Remuneration
649,	Expenses,								Expenses

651,	Name,									Name_of_Individual
651,	Position,								Position_Title
651,	Number_of_Months,							Number_of_Months
651,	Remuneration,								Remuneration
651,	Expenses,								Expenses

652,	Name_of_Individual,							Name_of_Individual
652,	Position/Title,								Position_Title
652,	Number_of_Months,							Number_of_Months
652,	Remuneration,								Remuneration
652,	Expenses,								Expenses

653,	Name_of_Individual,							Name_of_Individual
653,	Position/Title,								Position_Title
653,	Number_of_Months,							Number_of_Months
653,	Remuneration,								Remuneration
653,	Expenses,								Expenses

669,	Name_of_Individual,							Name_of_Individual
669,	Position_Title,								Position_Title
669,	Number_of_Months,							Number_of_Months
669,	Remuneration,								Remuneration
669,	Expenses,								Expenses

684,	Name_of_Individual,							Name_of_Individual
684,	Position_Title,								Position_Title
684,	Number_of_Months,							Number_of_Months
684,	Remuneration,								Remuneration
684,	Expenses,								Expenses

687,	Name_of_Individual,							Name_of_Individual
687,	Position_Title,								Position_Title
687,	Number_of_Months,							Number_of_Months
687,	Remuneration,								Remuneration
687,	Expenses,								Expenses

688,	Name_of_Individual,							Name_of_Individual
688,	Position_Title,								Position_Title
688,	Number_of_Months,							Number_of_Months
688,	Annual_Salary,								Remuneration
688,	Other_Remuneration_Non_Monetary_Pension,				Remuneration
688,	Other_Remuneration_Non_Monetary_Benefits,				Remuneration
688,	Other_Remuneration_VISA,						Remuneration
688,	Other_Remuneration_TRAVEL,						Expenses
688,	Expenses_Reimbursed_as_part_of_other_Remuneration_TRAVEL,		Expenses
688,	Other_Remuneration_TRAINING,						Expenses
688,	Expenses_Reimbursed_as_part_of_other_Remuneration,			Expenses

690,	Name_of_Individual,							Name_of_Individual
690,	Position_Title,								Position_Title
690,	Number_of_Months,							Number_of_Months
690,	Remuneration,								Remuneration
690,	Expenses,								Expenses

691,	Name_of_Individual,							Name_of_Individual
691,	Position_Title,								Position_Title
691,	Number_of_Months,							Number_of_Months
691,	Actual_Salary,								Remuneration
691,	Other_Remuneration,							Remuneration
691,	Expenses_Reimbursed_as_part_of_Other_Remuneration,			Expenses

698,	Name_of_Individual,							Name_of_Individual
698,	Position_Title,								Position_Title
698,	Number_of_Months,							Number_of_Months
698,	Remuneration,								Remuneration
698,	Expenses,								Expenses

702,	Name_of_Individual,							Name_of_Individual
702,	Position_Title,								Position_Title
702,	Number_of_Months,							Number_of_Months
702,	Remuneration,								Remuneration
702,	Expenses,								Expenses

706,	Name_of_Individual,							Name_of_Individual
706,	Position_Title,								Position_Title
706,	Number_of_Months,							Number_of_Months
706,	Remuneration,								Remuneration
706,	Expenses,								Expenses

716,	Name_of_Individual,							Name_of_Individual
716,	Position_Title,								Position_Title
716,	Number_of_Months,							Number_of_Months
716,	Remuneration,								Remuneration
716,	Expenses,								Expenses

717,	Name_of_Individual,							Name_of_Individual
717,	Position_Title,								Position_Title
717,	Number_of_Months,							Number_of_Months
717,	Remuneration,								Remuneration
717,	Expenses,								Expenses

719,	Name_of_Individual,							Name_of_Individual
719,	Position_Title,								Position_Title
719,	Number_of_Months,							Number_of_Months
719,	Remuneration,								Remuneration
719,	Expenses,								Expenses

723,	Name_of_Individual,							Name_of_Individual
723,	Position_Title,								Position_Title
723,	Number_of_Months,							Number_of_Months
723,	Remuneration,								Remuneration
723,	Expenses,								Expenses

724,	Name,									Name_of_Individual
724,	Position,								Position_Title
724,	Number_of_Months,							Number_of_Months
724,	Remuneration,								Remuneration
724,	Expenses,								Expenses

8,	Name_NA,								Name_of_Individual
8,	Title_NA,								Position_Title
8,	Weeks,									Number_of_Months*
8,	Salaries,								Remuneration
8,	Honorariums,								Remuneration
8,	Travel,									Expenses
8,	Cell_Phone,								Expenses
8,	Other_Remuneration,							Remuneration*

15,	Elected_Officials,							Name_of_Individual
15,	Position,								Position_Title
15,	#_of_Months,								Number_of_Months
15,	Salaries/Fees,								Remuneration
15,	Honoraria,								Remuneration
15,	Travel,									Expenses
15,	Cell_Phone,								Expenses

17,	Name_NA,								Name_of_Individual
17,	Title_NA,								Position_Title
17,	Months_NA,								Number_of_Months
17,	Salary,									Remuneration
17,	Honoraria,								Remuneration
17,	Pension,								Remuneration
17,	Travel_Expenses,							Expenses

18,	Name_of_Individual,							Name_of_Individual
18,	Title_NA,								Position_Title
18,	Months,									Number_of_Months
18,	Honoraria,								Remuneration
18,	Travel_Expenses,							Expenses
18,	Other_Remuneration,							Remuneration

25,	Name_NA,								Name_of_Individual
25,	Position,								Position_Title
25,	#_of_Months,								Number_of_Months
25,	Salary,									Remuneration
25,	Honoraria,								Remuneration
25,	Other,									Remuneration*
25,	Travel_Expenses,							Expenses

33,	Name,									Name_of_Individual
33,	Title,									Position_Title
33,	No_of_Months,								Number_of_Months
33,	Remuneration,								Remuneration
33,	Travel_Expenses,							Expenses

34,	Name_of_Individual,							Name_of_Individual
34,	Position_Title,								Position_Title
34,	Number_of_Months,							Number_of_Months
34,	Salary,									Remuneration
34,	Honoraria,								Remuneration
34,	Other_Remuneration,							Remuneration
34,	Travel_Expenses,							Expenses

50,	Nom,									Name_of_Individual
50,	Titre_du_poste,								Position_Title
50,	Nombre_de_mois_en_poste,						Number_of_Months
50,	Honoraire,								Remuneration
50,	Frais_de_déplacements,							Expenses
50,	Autres_rémunérations,							Remuneration

52,	Elected_Officials,							Name_of_Individual
52,	Position_title,								Position_Title
52,	Number_of_months,							Number_of_Months
52,	Salaries,								Remuneration
52,	Honoraria,								Remuneration
52,	Other_remuneration,							Remuneration
52,	Travel_expenses,							Expenses

54,	Nom_de_la_personne,							Name_of_Individual
54,	Titre_du_poste,								Position_Title
54,	Nombre_de_mois,								Number_of_Months
54,	Salaires_et_honoraires,							Remuneration
54,	Frais_de_voyages,							Expenses
54,	Autres_rémunérations,							Remuneration

69,	Name,									Name_of_Individual
69,	Position,								Position_Title
69,	Number_of_months,							Number_of_Months
69,	Salary_and_honoraria,							Remuneration
69,	Travel_and_other,							Expenses

70,	Name_NA,								Name_of_Individual
70,	Title,									Position_Title
70,	#_of_Months,								Number_of_Months
70,	Remuneration,								Remuneration
70,	Expenses,								Expenses

72,	Nom,									Name_of_Individual
72,	Titre,									Position_Title
72,	Nombre_de_mois,								Number_of_Months
72,	Salaires_ou_honoraires,							Remuneration
72,	Autres_rémunérations,							Remuneration
72,	Frais_de_voyages,							Expenses

73,	Name_of_individual,							Name_of_Individual
73,	Position,								Position_Title
73,	No._of_Months,								Number_of_Months
73,	Salary,									Remuneration
73,	Other_Remuneration,							Remuneration
73,	Honoraria,								Remuneration
73,	Travel_Expenses,							Expenses

80,	Nom,									Name_of_Individual
80,	Titre,									Position_Title
80,	Nombre_de_semaines,							Number_of_Months*
80,	Honoraires_salaires,							Remuneration
80,	Frais_de_voyage,							Expenses

84,	NOM,									Name_of_Individual
84,	Titre,									Position_Title
84,	Nombre_semaines,							Number_of_Months*
84,	Honoraires_salaires,							Remuneration
84,	Frais_de_voyage,							Expenses

120,	Name_of_Individual,							Name_of_Individual
120,	Position_Title,								Position_Title
120,	Number_of_months,							Number_of_Months
120,	Salary_and_Honoraria,							Remuneration
120,	Travel_Expenses,							Expenses
120,	Other_Remuneration,							Remuneration

140,	Name_of_Individual,							Name_of_Individual
140,	Title_NA,								Position_Title
140,	No._of_Months,								Number_of_Months
140,	Salary_and_Honoraria,							Remuneration
140,	Other_Remuneration,							Remuneration
140,	Travel_Expenses,							Expenses

165,	Name,									Name_of_Individual
165,	Position,								Position_Title
165,	Months,									Number_of_Months
165,	Salary_Honoraria,							Remuneration
165,	Travel_Mileage,								Expenses
165,	Flights/Meals/Accommodations,						Expenses
165,	SFNS,									Remuneration*
165,	Trillium_War_1812,							Remuneration*

175,	Chief/Council_Member,							Name_of_Individual
175,	Position_Title,								Position_Title
175,	Number_of_Months,							Number_of_Months
175,	Salary_and_Honorarium,							Remuneration
175,	Travel_and_other,							Expenses

183,	Name_of_Individual,							Name_of_Individual
183,	Position_Title,								Position_Title
183,	Number_of_Months,							Number_of_Months
183,	Remuneration,								Remuneration
183,	Expenses,								Expenses

196,	Name_of_Individual,							Name_of_Individual
196,	Position_Title,								Position_Title
196,	Number_of_Months,							Number_of_Months
196,	Remuneration,								Remuneration
196,	Expenses,								Expenses

230,	Name_of_Individual,							Name_of_Individual
230,	Position/Title,								Position_Title
230,	Number_of_Months,							Number_of_Months
230,	Remuneration,								Remuneration
230,	Expenses,								Expenses

236,	Name_NA,								Name_of_Individual
236,	Title_NA,								Position_Title
236,	Number_of_Months,							Number_of_Months
236,	Remuneration,								Remuneration
236,	Expenses,								Expenses

237,	First_Nation_Administration,						Name_of_Individual
237,	Title_NA,								Position_Title
237,	Number_of_Months,							Number_of_Months
237,	Remuneration,								Remuneration
237,	Expenses,								Expenses

240,	Chief_and_Council,							Name_of_Individual
240,	Title_NA,								Position_Title
240,	Number_of_Months,							Number_of_Months
240,	Remuneration,								Remuneration
240,	Expenses,								Expenses

293,	Name_of_Individual,							Name_of_Individual
293,	Position_Title,								Position_Title
293,	Number_of_Months,							Number_of_Months
293,	Salary,									Remuneration
293,	Honoraria,								Remuneration
293,	Other_Remuneration,							Remuneration
293,	Travel_Expenses,							Expenses

311,	Name_NA,								Name_of_Individual
311,	Title_NA,								Position_Title
311,	Months,									Number_of_Months
311,	Remuneration,								Remuneration
311,	Expenses,								Expenses

385,	Name_NA,								Name_of_Individual
385,	Title_NA,								Position_Title
385,	Months,									Number_of_Months
385,	Piapot_First_Nation_Per_diem,						Remuneration*
385,	Cree_Land_Mini-Mart_Limited_Partnership_Per_diem,			Remuneration*
385,	Piapot_First_Nation_Expense,						Expenses
385,	Cree_Land_Mini-Mart_Limited_Partnership_Expense,			Expenses
385,	Contracts,								Remuneration

404,	Name_of_Individual,							Name_of_Individual
404,	Position/Title,								Position_Title
404,	Number_of_Months,							Number_of_Months
404,	Remuneration,								Remuneration
404,	Expenses,								Expenses

438,	Chief_and_Council,							Name_of_Individual
438,	Title_NA,								Position_Title
438,	Months,									Number_of_Months
438,	Wages_and_salary,							Remuneration
438,	Other_Remuneration,							Remuneration
438,	Travel,									Expenses

439,	Chief_and_Council,							Name_of_Individual
439,	Title_NA,								Position_Title
439,	Months,									Number_of_Months
439,	Honoraria/Salary,							Remuneration
439,	Other_Remuneration,							Remuneration
439,	Travel,									Expenses

450,	Chief_and_Council,							Name_of_Individual
450,	Title_NA,								Position_Title
450,	Months,									Number_of_Months
450,	Honoraria/Salary,							Remuneration
450,	Other_Remuneration,							Remuneration
450,	Travel,									Expenses

451,	Name_NA,								Name_of_Individual
451,	Position,								Position_Title
451,	Number_of_Months,							Number_of_Months
451,	Salary,									Remuneration
451,	Honoraria,								Remuneration
451,	Other_remuneration,							Remuneration
451,	Travel_expenses,							Expenses

455,	Name,									Name_of_Individual
455,	Title_NA,								Position_Title
455,	Number_of_Months_on_the_Board,						Number_of_Months*
455,	Total_Remuneration_Sturgeon_Lake_Cree_Nation,				Remuneration
455,	Honoraria_Sturgeon_Lake_Developments,					Remuneration
455,	Honoraria_Sturgeon_Lake_Trust,						Remuneration
455,	Honoraria_Sturgeon_Lake_Resources,					Remuneration
455,	Total_Travel,								Expenses

461,	Name_of_Individual,							Name_of_Individual
461,	Position_Title,								Position_Title
461,	Number_of_Months,							Number_of_Months
461,	Remuneration,								Remuneration
461,	Expenses,								Expenses

465,	Name,									Name_of_Individual
465,	Position_Title,								Position_Title
465,	Month,									Number_of_Months
465,	Salary,									Remuneration
465,	Travel_Expenses,							Expenses

477,	Elected_or_Appointed_Officials,						Name_of_Individual
477,	Title_NA,								Position_Title
477,	Months_in_Office,							Number_of_Months
477,	Salary,									Remuneration
477,	Honoraria,								Remuneration
477,	Travel,									Expenses
477,	Fuel_Allowance,								Expenses
477,	Cell_Phone,								Expenses
477,	Christmas_Bonus,							Remuneration

535,	Name_of_Individual,							Name_of_Individual
535,	Position_Title,								Position_Title
535,	Number_of_Months,							Number_of_Months
535,	Remuneration,								Remuneration
535,	Expenses,								Expenses

536,	Chief_and_Council,							Name_of_Individual
536,	Title_NA,								Position_Title
536,	Wages,									Remuneration
536,	Honorarium,								Remuneration
536,	Travel,									Expenses
536,	Other,									Remuneration*
536,	Months_Covered,								Number_of_Months*

538,	Name_of_Individual,							Name_of_Individual
538,	Position_Title,								Position_Title
538,	Number_of_Months,							Number_of_Months
538,	Remuneration,								Remuneration
538,	Expenses,								Expenses

540,	Chief_and_Council_Members,						Name_of_Individual
540,	Position_Title,								Position_Title
540,	Number_of_Months,							Number_of_Months*
540,	Remuneration,								Remuneration
540,	Expenses,								Expenses

549,	Name_of_Individual,							Name_of_Individual
549,	Position_Title,								Position_Title
549,	Number_of_Months,							Number_of_Months
549,	Remuneration,								Remuneration
549,	Expenses,								Expenses

552,	Name_of_Individual,							Name_of_Individual
552,	Position_Title,								Position_Title
552,	Number_of_Months,							Number_of_Months
552,	Remuneration,								Remuneration
552,	Expenses,								Expenses

556,	Name_of_Individual,							Name_of_Individual
556,	Position_Title,								Position_Title
556,	Number_of_Months,							Number_of_Months
556,	Remuneration,								Remuneration
556,	Expenses,								Expenses
556,	Other_Remuneration,							Remuneration

563,	Name,									Name_of_Individual
563,	Position_Title,								Position_Title
563,	No._of_Months,								Number_of_Months
563,	Remuneration,								Remuneration
563,	Travel_Expenses,							Expenses

578,	Name_of_Individual,							Name_of_Individual
578,	Position_Title,								Position_Title
578,	Number_of_Months,							Number_of_Months
578,	Remuneration,								Remuneration
578,	Expenses,								Expenses

587,	Name_of_Individual,							Name_of_Individual
587,	Position_Title,								Position_Title
587,	Number_of_Months,							Number_of_Months
587,	Remuneration,								Remuneration
587,	Expenses,								Expenses

592,	Name_of_Individual,							Name_of_Individual
592,	Position_Title,								Position_Title
592,	Number_of_Months,							Number_of_Months
592,	Remuneration,								Remuneration
592,	Expenses,								Expenses

595,	Name_of_Individual,							Name_of_Individual
595,	Position_Title,								Position_Title
595,	Number_of_Months,							Number_of_Months
595,	Remuneration,								Remuneration
595,	Expenses,								Expenses

598,	Name_of_Individual,							Name_of_Individual
598,	Position_Title,								Position_Title
598,	Number_of_Months,							Number_of_Months
598,	Remuneration,								Remuneration
598,	Expenses,								Expenses

600,	Name_of_Individual,							Name_of_Individual
600,	Position_Title,								Position_Title
600,	Number_of_Months,							Number_of_Months
600,	Remuneration,								Remuneration
600,	Expenses,								Expenses

612,	Name_of_Individual,							Name_of_Individual
612,	Position_Title,								Position_Title
612,	Number_of_Months,							Number_of_Months
612,	Remuneration,								Remuneration
612,	Expenses,								Expenses

614,	Name_of_Individual,							Name_of_Individual
614,	Position_Title,								Position_Title
614,	Number_of_Months,							Number_of_Months
614,	Remuneration,								Remuneration
614,	Expenses,								Expenses

615,	Name_of_Individual,							Name_of_Individual
615,	Position,								Position_Title
615,	Number_of_Months,							Number_of_Months
615,	Remuneration,								Remuneration
615,	Expenses,								Expenses

620,	Name_of_Individual,							Name_of_Individual
620,	Position_Title,								Position_Title
620,	Number_of_Months,							Number_of_Months
620,	Remuneration,								Remuneration
620,	Expenses,								Expenses

622,	Name_of_Individual,							Name_of_Individual
622,	Position_Title,								Position_Title
622,	Number_of_Months,							Number_of_Months
622,	Remuneration,								Remuneration
622,	Expenses,								Expenses

625,	Name_of_Individual,							Name_of_Individual
625,	Position_and_Title,							Position_Title
625,	Number_of_Months,							Number_of_Months
625,	Salary,									Remuneration
625,	Honoraria,								Remuneration
625,	Other_Remuneration,							Remuneration
625,	Travel_Expenses,							Expenses

626,	Name_of_Individual,							Name_of_Individual
626,	Position_Title,								Position_Title
626,	No._of_Months,								Number_of_Months
626,	Remuneration,								Remuneration
626,	Expenses,								Expenses

632,	Name_NA,								Name_of_Individual
632,	Position,								Position_Title
632,	Number_of_Months,							Number_of_Months
632,	Salary,									Remuneration
632,	Honoraria,								Remuneration
632,	Travel_expenses,							Expenses

633,	Name,									Name_of_Individual
633,	Position,								Position_Title
633,	Number_of_Months,							Number_of_Months
633,	Remuneration,								Remuneration
633,	Expenses,								Expenses

641,	Name,									Name_of_Individual
641,	Position,								Position_Title
641,	Number_of_Months,							Number_of_Months
641,	Remuneration,								Remuneration
641,	Expenses,								Expenses

650,	Name_of_individual,							Name_of_Individual
650,	Position/Title,								Position_Title
650,	Number_of_Months,							Number_of_Months
650,	Remuneration,								Remuneration
650,	Expenses,								Expenses

658,	Name_of_Individual,							Name_of_Individual
658,	Position_Title,								Position_Title
658,	Number_of_Months,							Number_of_Months
658,	Remuneration,								Remuneration
658,	Expenses,								Expenses

675,	Name_of_Individual,							Name_of_Individual
675,	Position_Title,								Position_Title
675,	Number_of_Months,							Number_of_Months
675,	Honoraria,								Remuneration
675,	Expenses,								Expenses
675,	Salaries_and_Wages,							Remuneration

676,	Name,									Name_of_Individual
676,	Title_NA,								Position_Title
676,	Number_of_Months,							Number_of_Months
