
53,			Nation_Micmac_de_Gespeg,	Raymond_Chabot_Grant_Thornton
Nom_de_la_personne,	Titre_du_poste,	Nombre_de_mois,	Salaires_et_honoraires,	Autres_rémunérations,	Frais_de_voyage
Basque_Johanne,		Conseillére,	12,		13780,			28157,			1445
Jean_Johanne,		Conseillére,	12,		13780,			12098,			1292
Jeannotte_Manon,	Conseillére,	12,		13780,			12569,			4424
Shaw_Terry,		Conseiller,	12,		12562,			39823,			4411
Basque_Danny,		Conseiller,	12,		13780,			0,			12159
Jeannotte_Claude,	Chef,		12,		28600,			33800,			22890
Langlois_Kevin,		Conseiller,	12,		13780,			13280,			2015
Jeannotte_Monique,	Conseillére,	12,		13780,			0,			0

76,				Pekuakamiulnuatsh_Takuhikan,	Deloitte_LLP
Name_NA,			Fonction,				Nombre_de_mois,	Salaires,	Autres_rémunérations,	Advantages_sociaux,	Frais_de_voyage
Dominique_Gilbert,		Chef,					10,		79105,		0,			12755,			12142
Moar_Clifford,			Chef,					2,		17275,		7973,			2870,			2108
Bégin_Florent,			Vice-chef,				2,		15590,		4863,			3002,			2713
Buckell_Johanna,		Conseillére_délégué,			2,		12929,		3614,			3050,			60
Courtois_Gilbert,		Vice-chef,				2,		10309,		8518,			285,			0
Courtois_Patrick,		Conseiller,				10,		45297,		4589,			9265,			1658
Éfienne_Marjolaine,		Vice-chef_aux_affaires_extrérieures,	10,		45297,		4704,			7669,			10359
Germain_Jonathan,		Conseiller,				10,		45297,		4589,			9242,			2983
Germain_Stéphane,		Vice-chef_aux_relations_communautaires,	10,		45297,		4704,			8141,			1191
Poul_Jean-Claude,		Conseiller_délégué,			2,		12459,		4892,			2096,			0
Robertson_Nelson,		Conseiller_délégué,			2,		12929,		6304,			2176,			698
Roussaau_Julie,			Conseillére,				10,		45297,		4589,			9100,			7990
Tremblay_Jeannine,		Conseillér_délégué,			2,		12929,		12520,			2488,			0
Verreauilt_Charles-Edouard,	Conseiller,				10,		45297,		4589,			9217,			3012

77,			Conseil_des_Atikamekw_de_Wemotaci,	Deloitte_LLP
Nom,			Titre_du_poste,	Nombre_de_mois/semaines,	Salaires,	Frais_de_voyage
Brent_Katcheech,	Councillor,	1,		4050,	357,			0
Gary_Gopher,		Councillor,	1,		4050,	0,			0
Michael_Houle,		Councillor,	1,		4050,	45,			0
Leo_Moccasin_Jr,	Chief,		12,		47866,	25469,			500
Oscar_Gopher,		Councilior,	11,		36528,	11183,			200
Ricky_Moccasin,		Councilior,	12,		42000,	7888,			228
Shane_Gopher,		Councillor,	11,		40300,	7754,			1000
Rebecca_Gopher,		Councillor,	11,		39000,	8668,			200
Brenda_Moccasin,	Councillor,	11,		40738,	12225,			200

348,			Sweetgrass_First_Nation,	Swanson_Gryba_&_Company
Elected_Officials,	Title_NA,	No._of_Months,	Salaries,	Honoraria,	Other_Honorarium,	Travel_&_Meetings,	Other_Remuneration
Lorie_Whitecalf,	Chief,		12,		0,		65000,		0,			281,			330
Tom_Whitecalf,		Councillor,	12,		0,		32500,		3150,			15833,			380
Omer_White,		Councillor,	12,		0,		32500,		2700,			13223,			250
Eldon_Atcheynum,	Councillor,	12,		0,		32500,		900,			13875,			150
Christopher_Albert,	Councillor,	12,		0,		32500,		1200,			16899,			150
Darius_Albert,		Councillor,	12,		0,		32500,		4500,			14143,			4679
Eileen_Pooyak,		Councillor,	7.5,		0,		21875,		1050,			11059,			0
Hazen_Paskemin,		Councillor,	4.5,		0,		10625,		120,			5077,			300

350,			Cumberland_House_Cree_Nation,	Chalupiak_&_Associates
Name,			Position,	Months_in_Position,	Salary_and_Honoraria,	Travel,	Other
Stewart_Lorne,		Chief,		12,			66245,			68760,	7341
Chaboyer_Rene,		Councillor,	12,			41297,			48839,	1959
Cook_William,		Councillor,	12,			43955,			50410,	1038
McKenzie_Angus,		Councillor,	12,			52134,			35385,	4478
Stewart_James,		Councillor,	12,			43487,			40155,	5353

362,			Kahkewistahaw_First_Nation,	MNP_LLP,	*
Chief_and_Council,	Title_NA,	Months,	Remuneration,	Pension_and_Benefits,	Travel
Sheldon_Taypotat,	Chief,		7,	43642,		4719,			18405
Louis_Taypotat,		Chief,		5,	31883,		114,			8401
Michael_Bob,		Councillor,	12,	53365,		4141,			31724
Vera_Wasacase,		Councillor,	12,	52109,		2949,			22317
Iris_Taypotat,		Councillor,	12,	52109,		6047,			23160
Edna_Lavallee,		Councillor,	12,	52109,		3300,			29092

374,			Mistawasis_First_Nation,	C.S._Skrupski
Name_of_Individual,	Position_Title,	Number_of_Months,	Salary,	Honoraria,	Other_Remuneration,	Travel_Expenses
Daryl_Watson,		Chief,		12,			52000,	0,		6000,			27000
William_Badger,		Councillor,	12,			36000,	0,		1200,			15300
Carol_Ledoux,		Councillor,	12,			36000,	0,		1200,			15300
Gregory_Pechawis,	Councillor,	12,			36000,	0,		1200,			15300
Leslie_Pechawis,	Councillor,	12,			36000,	0,		1200,			15300
Derek_Sandereson,	Councillor,	12,			36000,	0,		1200,			15300
Melvin_Watson,		Councillor,	12,			36000,	0,		1200,			15300

375,			Muskeg_Lake_Cree_Nation,	Crowe_MacKay_LLP
Name,			Designation,	Months,	Salary,	Benefits,	Travel,	Living_Allowance,	Telephone
Clifford_W_Tawpisin,	Chief,		12,	81000,	8945,		9144,	0,			2154
Albert_D_Lafond,	Councillor,	12,	40000,	5238,		2658,	0,			716
Dolores_M_Sand,		Councillor,	6.5,	21538,	2725,		3452,	0,			812
Harry_J_Lafond,		Councillor,	12,	40000,	5238,		1817,	0,			790
Josephine_M_Longneck,	Councillor,	12,	40000,	2469,		5660,	0,			1421
Leslie_G_Arcand,	Councillor,	12,	40000,	1817,		10791,	0,			1772
Orrin_M_Greyeyes,	Councillor,	12,	40000,	5238,		8383,	3320,			995
Kelly_J_Wolfe,		Councillor,	1.15,	3846,	436,		0,	0,			0

377,			Kinistin_Saulteaux_Nation,	MNP_LLP,	*
Name_NA,		Title_NA,	Number_of_Months,	Salary,	Other_Remuneration,	Travel
David_Scott,		Chief,		12,			51118,	1500,			15995
Trevor_Cheekinew,	Councillor,	12,			30000,	2000,			15572
Wayne_Thomas,		Councillor,	10,			24808,	1300,			12360
Ivan_Severight,		Councillor,	10,			24808,	1500,			12337
Greg_Scott,		Councillor,	10,			24808,	1500,			12103
Brenda_Kaiswatum,	Councillor,	10,			24808,	1100,			11749
Albert_Scott,		Councillor,	2,			11538,	200,			2700
Sheri_Thomas,		Councillor,	2,			5192,	0,			1807
Cyrus_Smokeyday,	Councillor,	2,			5192,	0,			1500

386,			Standing_Buffalo_Dakota_First_Nation,	MNP_LLP,	*
Name_NA,		Title_NA,	Months,	Honorariums,	Travel/Meetings,	Owned_Entity_Travel/Meetings
Rodger_Redman,		Chief,		12,	57153,		37598,			9231
Rodney_Isnana,		Councillor,	12,	31353,		33512,			9682
Ricky_Dale_Redman,	Councillor,	8,	19932,		21751,			9099
Stella_Isnana,		Councillor,	8,	19937,		22347,			6270
Minnie_Ryder,		Councillor,	8,	19858,		21618,			6884
Marcella_Yuzicapi,	Councillor,	8,	19900,		19909,			5037
Leanne_Yuzicapi,	Councillor,	8,	19409,		16453,			6483
Dwayne_Redman_Jr,	Councillor,	4,	11215,		12127,			2682
Arlen_Yuzicapi,		Councillor,	4,	11642,		11961,			2382
Vergil_Bear,		Councillor,	4,	11257,		11069,			2157
Herman_Goodpipe,	Councillor,	4,	11530,		9436,			1875

391,			George_Gordon_First_Nation,	MNP_LLP
Name_NA,		Title_NA,	Months,	Honorarium,	Travel,	GGDLP_&_TLE_Per_diems
Shawn_Longman,		Chief,		12,	73500,		13458,	21257
Hugh_Pratt,		Councillor,	12,	40000,		16214,	21445
Howard_Anderson,	Councillor,	12,	39500,		10521,	15144
Terry-Lynn_McNab,	Councillor,	12,	40000,		14290,	14144
Nathan_Bitternose,	Councillor,	12,	39500,		10648,	13925
Corey_Blind,		Councillor,	12,	40000,		12452,	13538
Donna_Anderson-Blind,	Councillor,	12,	40000,		8935,	13164
Ashley_Whitehawk,	Councillor,	12,	39512,		15248,	13056
John_McNab,		Councillor,	12,	40000,		10424,	11336

431,			O'Chiese_First_Nation,	Doyle_&_Company
Name_of_Individual,	Position_Title,	#_of_Months,	Remuneration,	Travel__Meetings_&_Other_Expenses
Darren_Whitford,	Chief,		12,		164453,		100778
Cedric_Whitford,	Councilor,	12,		109765,		27433
Martin_Ironbow,		Councilor,	12,		102261,		61786
Douglas_Beaverbones,	Councilor,	12,		117654,		63363
Cleon_Strawberry,	Councilor,	12,		112633,		66607
Robert_Strawberry,	Councilor,	12,		114426,		62929
Barry_Saulteaux,	Councilor,	12,		109314,		58819

436,				Piikani_Nation,	KPMG_LLP,	*
Name_NA,			Title_NA,	Months,	Honoraria,	Travel
Andrew_Provost,			Councillor,	12,	48525,		5218
Angela_Grier,			Councillor,	12,	48525,		12834
Casey_Scott,			Councillor,	12,	48525,		3629
Clayton_Small_Legs,		Councillor,	12,	56073,		20751
Eloise_Provost,			Councillor,	12,	49455,		4167
Fabian_North_Peigan,		Councillor,	12,	49125,		23453
Rebecca_Weasel_Traveler,	Councillor,	12,	48525,		6728
Kyle_Grier,			Councillor,	12,	49455,		6806
Maurice_Little_Wolf,		Councillor,	12,	48525,		2413
Wesley_Provost,			Councillor,	12,	48525,		3294
Willard_Yellow_Face,		Councillor,	12,	48525,		4460
Doane_Crowshoe,			Councillor,	12,	48525,		9864
Gayle_Strikes_With_A_Gun,	Chief,		12,	55473,		0

437,			Alexis_Nakota_Sioux_Nation,	Collins_Barrow_LLP
Name_NA,		Title_NA,	Months,	Consultation,	Travel,	Other
Clayton_Tony_Alexis,	Chief,		12,	91244,		57819,	7200
Gloria_Potts,		Councillor,	12,	72185,		40434,	4800
Darwin_Alexis,		Councillor,	12,	72185,		34611,	4800
Henry_Alexls,		Councillor,	12,	72185,		37492,	4800
Roderick_Alexis,	Councillor,	12,	72185,		36484,	4800
Erwin_Letendre,		Councillor,	12,	72185,		52678,	4800
Lonnie_Letendre,	Councillor,	12,	72185,		39348,	4800
Jaclyn_Mustus,		Councillor,	12,	72185,		30376,	4800

444,			Samson_Cree_Nation,	MNP_LLP
Name_of_Individual,	Position_Title,		Number_of_Months,	Remuneration,	Expenses
Kurt_Buffalo,		Chief/Councillor,	12,			166984,		6000
Marvin_Yellowbird,	Councillor/Chief,	12,			178050,		6000
Kirk_Buffalo,		Councillor,		12,			150304,		6000
Holly_Johnson,		Councillor,		12,			190073,		6000
Willy_Lightning,	Councillor,		12,			172505,		6000
Larron_Northwest,	Councillor,		12,			153248,		6000
Vernon_Saddleback,	Councillor,		12,			138082,		6000
Mario_Swampy,		Councillor,		12,			150474,		6000
Clayton_Bruno,		Councillor,		1,			12652,		500
Patrick_Buffalo,	Councillor,		1,			11570,		500
Shannon_Buffalo,	Councillor,		1,			14154,		500
Jonathan_Dion,		Councillor,		1,			12495,		500
Glenda_Swampy,		Councillor,		1,			14115,		500
Derek_Bruno,		Councillor,		11,			154484,		5500
Florence_Buffalo,	Councillor,		11,			138302,		5500
Koren_Lightning-Earle,	Councillor,		11,			140100,		5500
Jerry_Saddleback,	Councillor,		11,			142371,		5500
Elroy_Strawberry_Rain,	Councillor,		11,			132037,		5500

446,			Tallcree_First_Nation,	MNP_LLP
Name_NA,		Title_NA,	Number_of_Months,	Remuneration,	Expenses
Rupert_Meneen,		Chief,		12,			74500,		6174
George_Meneen,		Councillor,	12,			64343,		16436
Duane_Auger,		Councillor,	10,			52325,		10729
Kathleen_Auger,		Councillor,	10,			52325,		9727
David_Bow_Noskiye,	Councillor,	10,			52325,		9365
Terence_Meneen,		Councillor,	2,			12458,		3998
Ronald_Loonskin,	Councillor,	2,			13058,		1100
Donna_Roberts,		Councillor,	2,			12458,		0

447,			Little_Red_River_Cree_Nation,	MNP_LLP
Name_NA,		Title_NA,	Number_of_Months,	Remuneration,	Expenses
Leslie_Joe_Laboucan,	Chief,		12,			70000,		30583
Simon_Nanooch,		Councillor,	12,			48000,		29115
Arthur_Laboucan,	Councillor,	12,			48000,		28523
Chilouis_Wapoose,	Councillor,	12,			48000,		26568
Alfred_J_Seeseequon,	Councillor,	12,			48000,		25852
Floyd_B_Auger,		Councillor,	12,			48000,		21714
Solomon_St_Arnault,	Councillor,	12,			48000,		16443
Delmer_D'or,		Councillor,	12,			48000,		15699
Henry_Grandjambe,	Councillor,	12,			48000,		15284
John_M_Laboucan,	Councillor,	12,			48000,		15039
Lorne_Tallcree,		Councillor,	12,			48000,		10150

448,			Dene_Tha'_First_Nation,	MNP_LLP
Name_NA,		Title_NA,	Number_of_Months,	Remuneration,	Expenses
James_Ahnassay,		Chief,		8,			58846,		4788
Joe_Pastion,		Chief,		4,			38904,		12844
Delbert_Salopree,	Councillor,	12,			60000,		29828
Bernard_Beaulieu,	Councillor,	12,			60000,		24541
Sidney_Chambaud,	Councillor,	12,			60000,		14424
Fabian_Chonkolay,	Councillor,	4,			21923,		6541
Harold_Wasp-Colin,	Councillor,	4,			21923,		3492
Shane_Providence-Toho,	Councillor,	4,			21923,		5096
Stephen_Didzena,	Councillor,	4,			21923,		9213
Thomas_Ahkimnachie,	Councillor,	4,			21923,		7246
Gabriel_Didzena,	Councillor,	8,			46154,		13741
Kenneth_Didzena,	Councillor,	8,			46154,		29842
Andrea_Godin,		Councillor,	8,			46154,		22144
James_Metchooyeah,	Councillor,	8,			46154,		12794
Crystal_Wasp-Colin,	Councillor,	8,			46154,		11519

452,			Kapawe'no_First_Nation,	Crowe_MacKay_LLP
Chief_and_Council,	Title_NA,	Months,	Remuneration,	Travel
Frank_Halcrow,		Chief,		12,	61000,		9899
Peter_Chalifoux,	Councillor,	12,	56000,		11644
Sydney_Halcrow,		Councillor,	12,	56000,		40256

457,			Swan_River_First_Nation,	Doyle_&_Company
Chief_and_Council,	Title_NA,	Number_of_Months,	Salary_and_Honoraria,	Travel_and_Other
Leon_Chalifoux,		Chief,		2.5,			8250,			7355
Buddy_Giroux,		Councilor,	2.5,			8250,			7355
Darryl_Sound,		Councilor,	2.5,			8250,			7355
Ryan_Davis,		Chief,		12,			45140,			36000
Lee_Twim,		Councilor,	9.5,			30900,			28645
Mark_Giroux,		Councilor,	9.5,			39800,			28645
Gerakd_Giroux,		Councilor,	9.5,			30900,			28645

478,			Peerless_Trout_First_Nation_#478,	Doyle_&_Company
Chief_and_Council,	Title_NA,	#_of_Months,	Salary_and_Honoraria,	Other_Remuneration,	Cell_Phone_Allowance,	Travel_Expenses
Alook_James,		Chief,		12,		70500,			20856,			5583,			108998
Gladue_Norman_A,	Councillor,	12,		59577,			13827,			2400,			50698
Houle_William_S,	Councillor,	12,		59577,			18202,			2400,			26260
Laboucan_Sharon,	Councillor,	12,		59577,			17157,			2400,			25351
Okemow_Gilbert,		Councillor,	12,		59577,			13827,			2400,			29843

501,			Taku_River_Tlingit_First_Nation,	Crowe_MacKay_LLP
Name_of_Individual,	Position_Title,	Number_of_Months,	Remuneration,	Travel_Expenses
Marilyn_Jack,		Wolf_Director,	12,			15063.75,	1167
David_Moss,		Crow_Director,	12,			20534,		4539.18
Phil_Williams,		Wolf_Director,	12,			66361.63,	735.01
Toni_Welch,		Crow_Director,	8,			9023.75,	957
John_D_Ward,		Spokesperson,	10.5,			72800,		6400.50

530,			Moricetown_Band,	Carlyle_Shepherd_&_Co.,	*
Council,		Title_NA,	Term,	Salaries,	Other,	Honoraria,	Travel
George_Sandra,		Council,	12,	0,		0,	8900,		2481
George_Yvonne,		Council,	8,	0,		0,	5850,		930
Gunanoot_Mildred,	Council,	4,	0,		0,	2800,		0
Jim_Victor,		Council,	4,	0,		0,	2800,		0
Joseph_Delvin,		Council,	12,	0,		0,	8900,		0
LaRose_Margaret,	Council,	4,	52806,		0,	2800,		30
Lewis_Lillian,		Council,	8,	0,		0,	6100,		953
Lewis_Russell_Jr,	Council,	8,	0,		0,	6100,		930
McKinnon_Desmond,	Council,	12,	10500,		19452,	8900,		5325
Mitchell_Clement,	Council,	8,	0,		0,	6100,		930
Mitchell_Duane,		Council,	12,	0,		0,	9500,		770
Naziel_Gary,		Council,	12,	0,		0,	8900,		930
Nikal_Barry,		Chief,		8,	63466,		0,	7300,		6031
Pierre_Debbie,		Council,	12,	0,		0,	8900,		930
Tom_Andrew,		Council,	12,	0,		0,	8900,		930
William_Warner,		Council,	12,	18750,		0,	8900,		1796

550,			Musqueam_Indian_Band,	KPMG_LLP,	*
Name_of_Individual,	Title_NA,	No._of_Months,	Remuneration,	Expenses
Nolan_Charles,		Council,	12,		20475,		562
Allyson_Fraser,		Council,	12,		77438,		2289
Howard_E_Grant,		Council,	12,		20475,		259
Wade_Grant,		Council,	12,		77584,		499
Morgan_Guerin,		Council,	12,		61939,		259
Tammy_Harkey,		Council,	12,		20475,		3476
Wendy_John,		Council,	11,		18769,		259
Myrtle_Mackay,		Council,	12,		20475,		259
Michele_Point,		Council,	12,		68361,		259
Wayne_Sparrow,		Chief,		12,		31212,		1953
Nora_Stogan,		Council,	12,		50229,		259

553,			Klahoose_First_Nation,	Reid_Hurst_Nagy_Inc.
Name_of_Individual,	Position_Title,	Number_of_Months,	Remuneration,	Expenses
James_Delorme,		Chief,		12,			55546,		16446
Kathy_Francis,		Councillor,	12,			65661,		2499
Mavis_Kok,		Councillor,	12,			47355,		2093
Kevin_Peacey,		Councillor,	11,			61408,		1533
Jessie_Louie,		Councillor,	1,			1099,		0

554,			Sliammon_First_Nation,	KPMG_LLP,	*
Name_of_Individual,	Position_Title,				Number_of_Months,	Remuneration,	Expenses
Williams_Clint,		Chief_and_Councillor,			12,			39000,		9353
Francis_Gloria,		Councillor,				12,			13320,		8145
Hackett_John,		Councillor,				12,			12000,		1884
Johnson_Dillon,		Councillor,				12,			12000,		5814
Louie_Eugene,		Councillor,				12,			12000,		5086
Louie_Larry,		Health_Porfolio_Councillor,		12,			12000,		5733
Paul_Walter,		Sliammon_Treaty_Society_Councillor,	12,			12000,		2749
Pielle_Vern,		Director,				12,			12000,		1633
Point_Bruce,		Councillor,				10,			10000,		2590
Smith_Denise,		Councillor,				12,			12000,		339
Bob_Leonard,		Sliammon_Treaty_Society_Director,	12,			5150,		70
Galligos_Terri,		Sliammon_Treaty_Society_Director,	12,			2350,		617
George_Anthony,		Sliammon_Treaty_Society_Director,	4,			1175,		0
Louie_David,		Sliammon_Treaty_Society_Director,	4,			925,		0
Mitchell_Gary,		Sliammon_Treaty_Society_Treasurer,	7,			2375,		0
Paul_Cathryn,		Board_of_Directors_Secretary,		7,			6075,		200
Tom_Elaine,		Sliammon_Treaty_Society_Director,	12,			2350,		0
Galligos_Cathy,		Health_Board_Chair,			8,			250,		0
Blaney_Erik,		Health_Board_Member,			12,			600,		465
Dominick_Louise,	Health_Board_Member,			12,			550,		85
Francis_Verna,		Health_Board_Member,			12,			600,		22
Paul_Ann,		Health_Board_Member,			12,			400,		0
Point_Doreen,		Health_Board_Chair,			12,			600,		0

557,			Mount_Currie_Band,	BDO_Canada_LLP
